question_id,cell,gt,article,object,category_id,supercategory,image1_id,image1_file,image2_id,image2_file,pope_split,assignment
2650,1,no,a,dining table,67,furniture,429580,COCO_val2014_000000429580.jpg,448309,COCO_val2014_000000448309.jpg,adversarial,balanced
2678,1,no,a,car,3,vehicle,224155,COCO_val2014_000000224155.jpg,342403,COCO_val2014_000000342403.jpg,adversarial,balanced
2170,1,no,a,car,3,vehicle,252135,COCO_val2014_000000252135.jpg,58539,COCO_val2014_000000058539.jpg,adversarial,balanced
1022,1,no,a,skis,35,sports,449432,COCO_val2014_000000449432.jpg,129886,COCO_val2014_000000129886.jpg,adversarial,balanced
562,1,no,a,dining table,67,furniture,209755,COCO_val2014_000000209755.jpg,378284,COCO_val2014_000000378284.jpg,adversarial,balanced
596,1,no,a,handbag,31,accessory,105732,COCO_val2014_000000105732.jpg,333665,COCO_val2014_000000333665.jpg,adversarial,balanced
88,1,no,a,truck,8,vehicle,219622,COCO_val2014_000000219622.jpg,453841,COCO_val2014_000000453841.jpg,adversarial,balanced
724,1,no,a,car,3,vehicle,538054,COCO_val2014_000000538054.jpg,46805,COCO_val2014_000000046805.jpg,adversarial,balanced
1384,1,no,a,dining table,67,furniture,534516,COCO_val2014_000000534516.jpg,469936,COCO_val2014_000000469936.jpg,adversarial,balanced
2274,1,no,a,chair,62,furniture,68418,COCO_val2014_000000068418.jpg,96183,COCO_val2014_000000096183.jpg,adversarial,balanced
244,1,no,a,truck,8,vehicle,574057,COCO_val2014_000000574057.jpg,109900,COCO_val2014_000000109900.jpg,adversarial,balanced
2916,1,no,a,spoon,50,kitchen,190788,COCO_val2014_000000190788.jpg,63726,COCO_val2014_000000063726.jpg,adversarial,balanced
252,1,no,a,chair,62,furniture,456178,COCO_val2014_000000456178.jpg,168683,COCO_val2014_000000168683.jpg,adversarial,balanced
2148,1,no,a,handbag,31,accessory,156704,COCO_val2014_000000156704.jpg,244815,COCO_val2014_000000244815.jpg,adversarial,balanced
538,1,no,a,car,3,vehicle,498374,COCO_val2014_000000498374.jpg,395801,COCO_val2014_000000395801.jpg,adversarial,balanced
1444,1,no,a,mouse,74,electronic,407386,COCO_val2014_000000407386.jpg,160811,COCO_val2014_000000160811.jpg,adversarial,balanced
1268,1,no,a,traffic light,10,outdoor,244455,COCO_val2014_000000244455.jpg,365611,COCO_val2014_000000365611.jpg,adversarial,balanced
1932,1,no,a,spoon,50,kitchen,356424,COCO_val2014_000000356424.jpg,487159,COCO_val2014_000000487159.jpg,adversarial,balanced
610,1,no,a,bus,6,vehicle,520524,COCO_val2014_000000520524.jpg,170232,COCO_val2014_000000170232.jpg,adversarial,balanced
594,1,no,a,truck,8,vehicle,557016,COCO_val2014_000000557016.jpg,400815,COCO_val2014_000000400815.jpg,adversarial,balanced
2642,1,no,a,dining table,67,furniture,429706,COCO_val2014_000000429706.jpg,440023,COCO_val2014_000000440023.jpg,adversarial,balanced
1470,1,no,a,dining table,67,furniture,391735,COCO_val2014_000000391735.jpg,98029,COCO_val2014_000000098029.jpg,adversarial,balanced
2640,1,no,a,dining table,67,furniture,16451,COCO_val2014_000000016451.jpg,95062,COCO_val2014_000000095062.jpg,adversarial,balanced
2164,1,no,a,baseball glove,40,sports,155131,COCO_val2014_000000155131.jpg,576652,COCO_val2014_000000576652.jpg,adversarial,balanced
1942,1,no,a,knife,49,kitchen,172342,COCO_val2014_000000172342.jpg,541562,COCO_val2014_000000541562.jpg,adversarial,balanced
832,1,no,a,dining table,67,furniture,167110,COCO_val2014_000000167110.jpg,532129,COCO_val2014_000000532129.jpg,adversarial,balanced
320,1,no,a,car,3,vehicle,538236,COCO_val2014_000000538236.jpg,436808,COCO_val2014_000000436808.jpg,adversarial,balanced
266,1,no,a,traffic light,10,outdoor,454642,COCO_val2014_000000454642.jpg,514016,COCO_val2014_000000514016.jpg,adversarial,balanced
1462,1,no,a,bicycle,2,vehicle,115626,COCO_val2014_000000115626.jpg,340588,COCO_val2014_000000340588.jpg,adversarial,balanced
2396,1,no,a,car,3,vehicle,288576,COCO_val2014_000000288576.jpg,368302,COCO_val2014_000000368302.jpg,adversarial,balanced
2306,1,no,a,car,3,vehicle,579277,COCO_val2014_000000579277.jpg,77061,COCO_val2014_000000077061.jpg,adversarial,balanced
1210,1,no,a,dining table,67,furniture,124930,COCO_val2014_000000124930.jpg,502749,COCO_val2014_000000502749.jpg,adversarial,balanced
1072,1,no,a,car,3,vehicle,134075,COCO_val2014_000000134075.jpg,34900,COCO_val2014_000000034900.jpg,adversarial,balanced
2098,1,no,a,truck,8,vehicle,114941,COCO_val2014_000000114941.jpg,563275,COCO_val2014_000000563275.jpg,adversarial,balanced
2912,1,no,a,car,3,vehicle,190788,COCO_val2014_000000190788.jpg,35282,COCO_val2014_000000035282.jpg,adversarial,balanced
534,1,no,a,chair,62,furniture,427113,COCO_val2014_000000427113.jpg,419860,COCO_val2014_000000419860.jpg,adversarial,balanced
2194,1,no,a,chair,62,furniture,372819,COCO_val2014_000000372819.jpg,569839,COCO_val2014_000000569839.jpg,adversarial,balanced
888,1,no,a,truck,8,vehicle,87435,COCO_val2014_000000087435.jpg,421499,COCO_val2014_000000421499.jpg,adversarial,balanced
184,1,no,a,motorcycle,4,vehicle,291936,COCO_val2014_000000291936.jpg,70321,COCO_val2014_000000070321.jpg,adversarial,balanced
1744,1,no,a,frisbee,34,sports,343401,COCO_val2014_000000343401.jpg,510585,COCO_val2014_000000510585.jpg,adversarial,balanced
1114,1,no,a,cup,47,kitchen,378873,COCO_val2014_000000378873.jpg,64703,COCO_val2014_000000064703.jpg,adversarial,balanced
2296,1,no,a,car,3,vehicle,390157,COCO_val2014_000000390157.jpg,409856,COCO_val2014_000000409856.jpg,adversarial,balanced
2926,1,no,a,chair,62,furniture,377951,COCO_val2014_000000377951.jpg,397318,COCO_val2014_000000397318.jpg,adversarial,balanced
2704,1,no,a,bicycle,2,vehicle,163814,COCO_val2014_000000163814.jpg,556205,COCO_val2014_000000556205.jpg,adversarial,balanced
2118,1,no,a,tv,72,electronic,382617,COCO_val2014_000000382617.jpg,553847,COCO_val2014_000000553847.jpg,adversarial,balanced
2670,1,no,a,handbag,31,accessory,123570,COCO_val2014_000000123570.jpg,556064,COCO_val2014_000000556064.jpg,adversarial,balanced
56,1,no,a,handbag,31,accessory,17708,COCO_val2014_000000017708.jpg,192128,COCO_val2014_000000192128.jpg,adversarial,balanced
2026,1,no,a,traffic light,10,outdoor,91954,COCO_val2014_000000091954.jpg,479030,COCO_val2014_000000479030.jpg,adversarial,balanced
1496,1,no,a,baseball bat,39,sports,554328,COCO_val2014_000000554328.jpg,517938,COCO_val2014_000000517938.jpg,adversarial,balanced
826,1,no,a,car,3,vehicle,327532,COCO_val2014_000000327532.jpg,484301,COCO_val2014_000000484301.jpg,adversarial,balanced
1014,1,no,a,truck,8,vehicle,273450,COCO_val2014_000000273450.jpg,209782,COCO_val2014_000000209782.jpg,adversarial,balanced
2858,1,no,a,car,3,vehicle,560744,COCO_val2014_000000560744.jpg,453310,COCO_val2014_000000453310.jpg,adversarial,balanced
2580,1,no,a,dog,18,animal,516601,COCO_val2014_000000516601.jpg,468902,COCO_val2014_000000468902.jpg,adversarial,balanced
2638,1,no,a,car,3,vehicle,16451,COCO_val2014_000000016451.jpg,359925,COCO_val2014_000000359925.jpg,adversarial,balanced
2960,1,no,a,bowl,51,kitchen,3845,COCO_val2014_000000003845.jpg,312192,COCO_val2014_000000312192.jpg,adversarial,balanced
2472,1,no,a,dining table,67,furniture,458325,COCO_val2014_000000458325.jpg,245447,COCO_val2014_000000245447.jpg,adversarial,balanced
2032,1,no,a,car,3,vehicle,454607,COCO_val2014_000000454607.jpg,245013,COCO_val2014_000000245013.jpg,adversarial,balanced
2230,1,no,a,chair,62,furniture,233521,COCO_val2014_000000233521.jpg,275268,COCO_val2014_000000275268.jpg,adversarial,balanced
804,1,no,a,traffic light,10,outdoor,147289,COCO_val2014_000000147289.jpg,373060,COCO_val2014_000000373060.jpg,adversarial,balanced
2482,1,no,a,dining table,67,furniture,38645,COCO_val2014_000000038645.jpg,234934,COCO_val2014_000000234934.jpg,adversarial,balanced
2744,1,no,a,couch,63,furniture,233426,COCO_val2014_000000233426.jpg,31043,COCO_val2014_000000031043.jpg,adversarial,balanced
2526,1,no,a,bottle,44,kitchen,209290,COCO_val2014_000000209290.jpg,176841,COCO_val2014_000000176841.jpg,adversarial,balanced
616,1,no,a,dining table,67,furniture,580294,COCO_val2014_000000580294.jpg,516244,COCO_val2014_000000516244.jpg,adversarial,balanced
434,1,no,a,handbag,31,accessory,564336,COCO_val2014_000000564336.jpg,579415,COCO_val2014_000000579415.jpg,adversarial,balanced
120,1,no,a,couch,63,furniture,381895,COCO_val2014_000000381895.jpg,32375,COCO_val2014_000000032375.jpg,adversarial,balanced
2146,1,no,a,kite,38,sports,156704,COCO_val2014_000000156704.jpg,108528,COCO_val2014_000000108528.jpg,adversarial,balanced
1166,1,no,a,car,3,vehicle,327038,COCO_val2014_000000327038.jpg,293794,COCO_val2014_000000293794.jpg,adversarial,balanced
710,1,no,a,dining table,67,furniture,239130,COCO_val2014_000000239130.jpg,178795,COCO_val2014_000000178795.jpg,adversarial,balanced
1208,1,no,a,car,3,vehicle,124930,COCO_val2014_000000124930.jpg,89743,COCO_val2014_000000089743.jpg,adversarial,balanced
406,1,no,a,truck,8,vehicle,528905,COCO_val2014_000000528905.jpg,200717,COCO_val2014_000000200717.jpg,adversarial,balanced
2824,1,no,a,dining table,67,furniture,230175,COCO_val2014_000000230175.jpg,495533,COCO_val2014_000000495533.jpg,adversarial,balanced
1182,1,no,a,dining table,67,furniture,184338,COCO_val2014_000000184338.jpg,22112,COCO_val2014_000000022112.jpg,adversarial,balanced
66,1,no,a,cup,47,kitchen,574692,COCO_val2014_000000574692.jpg,293548,COCO_val2014_000000293548.jpg,adversarial,balanced
2866,1,no,a,baseball glove,40,sports,45685,COCO_val2014_000000045685.jpg,84031,COCO_val2014_000000084031.jpg,adversarial,balanced
2872,1,no,a,bowl,51,kitchen,434179,COCO_val2014_000000434179.jpg,369185,COCO_val2014_000000369185.jpg,adversarial,balanced
70,1,no,a,car,3,vehicle,353180,COCO_val2014_000000353180.jpg,45864,COCO_val2014_000000045864.jpg,adversarial,balanced
210,1,no,a,chair,62,furniture,553165,COCO_val2014_000000553165.jpg,162092,COCO_val2014_000000162092.jpg,adversarial,balanced
1314,1,no,a,cup,47,kitchen,333237,COCO_val2014_000000333237.jpg,527219,COCO_val2014_000000527219.jpg,adversarial,balanced
2528,1,no,a,car,3,vehicle,564511,COCO_val2014_000000564511.jpg,506707,COCO_val2014_000000506707.jpg,adversarial,balanced
2394,1,no,a,bottle,44,kitchen,84410,COCO_val2014_000000084410.jpg,73536,COCO_val2014_000000073536.jpg,adversarial,balanced
12,1,no,a,handbag,31,accessory,210789,COCO_val2014_000000210789.jpg,298197,COCO_val2014_000000298197.jpg,adversarial,balanced
2012,1,no,a,dining table,67,furniture,501294,COCO_val2014_000000501294.jpg,91654,COCO_val2014_000000091654.jpg,adversarial,balanced
2064,1,no,a,bus,6,vehicle,262736,COCO_val2014_000000262736.jpg,408840,COCO_val2014_000000408840.jpg,adversarial,balanced
400,1,no,a,car,3,vehicle,21645,COCO_val2014_000000021645.jpg,300000,COCO_val2014_000000300000.jpg,adversarial,balanced
1502,1,no,a,bowl,51,kitchen,384040,COCO_val2014_000000384040.jpg,424247,COCO_val2014_000000424247.jpg,adversarial,balanced
998,1,no,a,bowl,51,kitchen,468934,COCO_val2014_000000468934.jpg,191359,COCO_val2014_000000191359.jpg,adversarial,balanced
802,1,no,a,truck,8,vehicle,147289,COCO_val2014_000000147289.jpg,497791,COCO_val2014_000000497791.jpg,adversarial,balanced
2318,1,no,a,dining table,67,furniture,553992,COCO_val2014_000000553992.jpg,556064,COCO_val2014_000000556064.jpg,adversarial,balanced
2680,1,no,a,sink,81,appliance,224155,COCO_val2014_000000224155.jpg,81315,COCO_val2014_000000081315.jpg,adversarial,balanced
2276,1,no,a,skis,35,sports,368541,COCO_val2014_000000368541.jpg,209989,COCO_val2014_000000209989.jpg,adversarial,balanced
828,1,no,a,baseball glove,40,sports,327532,COCO_val2014_000000327532.jpg,243875,COCO_val2014_000000243875.jpg,adversarial,balanced
1128,1,no,a,fork,48,kitchen,11241,COCO_val2014_000000011241.jpg,170716,COCO_val2014_000000170716.jpg,adversarial,balanced
440,1,no,a,dining table,67,furniture,231589,COCO_val2014_000000231589.jpg,120357,COCO_val2014_000000120357.jpg,adversarial,balanced
82,1,no,a,bowl,51,kitchen,569839,COCO_val2014_000000569839.jpg,143445,COCO_val2014_000000143445.jpg,adversarial,balanced
884,1,no,a,bicycle,2,vehicle,87435,COCO_val2014_000000087435.jpg,13177,COCO_val2014_000000013177.jpg,adversarial,balanced
1806,1,no,a,handbag,31,accessory,465418,COCO_val2014_000000465418.jpg,124614,COCO_val2014_000000124614.jpg,adversarial,balanced
600,1,no,a,snowboard,36,sports,105732,COCO_val2014_000000105732.jpg,29138,COCO_val2014_000000029138.jpg,adversarial,balanced
2350,1,no,a,dining table,67,furniture,477598,COCO_val2014_000000477598.jpg,445371,COCO_val2014_000000445371.jpg,adversarial,balanced
2674,1,no,a,baseball glove,40,sports,365317,COCO_val2014_000000365317.jpg,395291,COCO_val2014_000000395291.jpg,adversarial,balanced
72,1,no,a,traffic light,10,outdoor,353180,COCO_val2014_000000353180.jpg,577355,COCO_val2014_000000577355.jpg,adversarial,balanced
1154,1,no,a,couch,63,furniture,376959,COCO_val2014_000000376959.jpg,319743,COCO_val2014_000000319743.jpg,adversarial,balanced
2682,1,no,a,dining table,67,furniture,224155,COCO_val2014_000000224155.jpg,312298,COCO_val2014_000000312298.jpg,adversarial,balanced
2928,1,no,a,car,3,vehicle,377951,COCO_val2014_000000377951.jpg,67502,COCO_val2014_000000067502.jpg,adversarial,balanced
2690,1,no,a,dining table,67,furniture,265472,COCO_val2014_000000265472.jpg,162829,COCO_val2014_000000162829.jpg,adversarial,balanced
984,1,no,a,cup,47,kitchen,197219,COCO_val2014_000000197219.jpg,355430,COCO_val2014_000000355430.jpg,adversarial,balanced
8,1,no,a,car,3,vehicle,210789,COCO_val2014_000000210789.jpg,437859,COCO_val2014_000000437859.jpg,adversarial,balanced
368,1,no,a,chair,62,furniture,354088,COCO_val2014_000000354088.jpg,386912,COCO_val2014_000000386912.jpg,adversarial,balanced
678,1,no,a,bed,65,furniture,370900,COCO_val2014_000000370900.jpg,357391,COCO_val2014_000000357391.jpg,adversarial,balanced
1138,1,no,a,car,3,vehicle,246145,COCO_val2014_000000246145.jpg,431023,COCO_val2014_000000431023.jpg,adversarial,balanced
2322,1,no,a,couch,63,furniture,553992,COCO_val2014_000000553992.jpg,450596,COCO_val2014_000000450596.jpg,adversarial,balanced
2352,1,no,an,orange,55,food,477598,COCO_val2014_000000477598.jpg,199969,COCO_val2014_000000199969.jpg,adversarial,balanced
1916,1,no,a,dining table,67,furniture,196462,COCO_val2014_000000196462.jpg,429261,COCO_val2014_000000429261.jpg,adversarial,balanced
2222,1,no,a,car,3,vehicle,579415,COCO_val2014_000000579415.jpg,348793,COCO_val2014_000000348793.jpg,adversarial,balanced
2796,1,no,a,dog,18,animal,514248,COCO_val2014_000000514248.jpg,307341,COCO_val2014_000000307341.jpg,adversarial,balanced
180,1,no,a,dining table,67,furniture,288639,COCO_val2014_000000288639.jpg,11537,COCO_val2014_000000011537.jpg,adversarial,balanced
92,1,no,a,cup,47,kitchen,300368,COCO_val2014_000000300368.jpg,273494,COCO_val2014_000000273494.jpg,adversarial,balanced
1112,1,no,a,car,3,vehicle,378873,COCO_val2014_000000378873.jpg,571865,COCO_val2014_000000571865.jpg,adversarial,balanced
2998,1,no,a,cup,47,kitchen,277289,COCO_val2014_000000277289.jpg,24104,COCO_val2014_000000024104.jpg,adversarial,balanced
232,1,no,a,car,3,vehicle,31773,COCO_val2014_000000031773.jpg,320171,COCO_val2014_000000320171.jpg,adversarial,balanced
770,1,no,a,car,3,vehicle,203479,COCO_val2014_000000203479.jpg,389401,COCO_val2014_000000389401.jpg,adversarial,balanced
668,1,no,a,car,3,vehicle,237767,COCO_val2014_000000237767.jpg,157756,COCO_val2014_000000157756.jpg,adversarial,balanced
552,1,no,a,dining table,67,furniture,81336,COCO_val2014_000000081336.jpg,438788,COCO_val2014_000000438788.jpg,adversarial,balanced
928,1,no,a,truck,8,vehicle,102906,COCO_val2014_000000102906.jpg,259216,COCO_val2014_000000259216.jpg,adversarial,balanced
698,1,no,a,car,3,vehicle,93946,COCO_val2014_000000093946.jpg,175867,COCO_val2014_000000175867.jpg,adversarial,balanced
1192,1,no,a,car,3,vehicle,498100,COCO_val2014_000000498100.jpg,357542,COCO_val2014_000000357542.jpg,adversarial,balanced
1478,1,no,a,backpack,27,accessory,463542,COCO_val2014_000000463542.jpg,383322,COCO_val2014_000000383322.jpg,adversarial,balanced
2646,1,no,a,car,3,vehicle,429706,COCO_val2014_000000429706.jpg,152336,COCO_val2014_000000152336.jpg,adversarial,balanced
2066,1,no,a,car,3,vehicle,76416,COCO_val2014_000000076416.jpg,159320,COCO_val2014_000000159320.jpg,adversarial,balanced
1418,1,no,a,traffic light,10,outdoor,424585,COCO_val2014_000000424585.jpg,451228,COCO_val2014_000000451228.jpg,adversarial,balanced
2054,1,no,a,bowl,51,kitchen,167724,COCO_val2014_000000167724.jpg,195179,COCO_val2014_000000195179.jpg,adversarial,balanced
1948,1,no,a,dining table,67,furniture,384970,COCO_val2014_000000384970.jpg,411564,COCO_val2014_000000411564.jpg,adversarial,balanced
2250,1,no,a,cup,47,kitchen,240434,COCO_val2014_000000240434.jpg,512495,COCO_val2014_000000512495.jpg,adversarial,balanced
2966,1,no,a,cup,47,kitchen,122962,COCO_val2014_000000122962.jpg,96183,COCO_val2014_000000096183.jpg,adversarial,balanced
2388,1,no,a,handbag,31,accessory,61507,COCO_val2014_000000061507.jpg,156292,COCO_val2014_000000156292.jpg,adversarial,balanced
2028,1,no,a,bus,6,vehicle,91954,COCO_val2014_000000091954.jpg,24195,COCO_val2014_000000024195.jpg,adversarial,balanced
2544,1,no,a,dog,18,animal,462805,COCO_val2014_000000462805.jpg,255664,COCO_val2014_000000255664.jpg,adversarial,balanced
1200,1,no,a,book,84,indoor,375909,COCO_val2014_000000375909.jpg,262938,COCO_val2014_000000262938.jpg,adversarial,balanced
1820,1,no,a,chair,62,furniture,436127,COCO_val2014_000000436127.jpg,166003,COCO_val2014_000000166003.jpg,adversarial,balanced
196,1,no,a,couch,63,furniture,526321,COCO_val2014_000000526321.jpg,161877,COCO_val2014_000000161877.jpg,adversarial,balanced
2190,1,no,a,spoon,50,kitchen,332908,COCO_val2014_000000332908.jpg,181576,COCO_val2014_000000181576.jpg,adversarial,balanced
2668,1,no,a,truck,8,vehicle,123570,COCO_val2014_000000123570.jpg,263594,COCO_val2014_000000263594.jpg,adversarial,balanced
740,1,no,a,dining table,67,furniture,65001,COCO_val2014_000000065001.jpg,16030,COCO_val2014_000000016030.jpg,adversarial,balanced
982,1,no,a,backpack,27,accessory,197219,COCO_val2014_000000197219.jpg,54593,COCO_val2014_000000054593.jpg,adversarial,balanced
1804,1,no,a,dining table,67,furniture,465418,COCO_val2014_000000465418.jpg,82889,COCO_val2014_000000082889.jpg,adversarial,balanced
