condition,acc_c1,acc_c2,acc_c3,acc_c4,acc_all,flip_c1,flip_c2,flip_c3,flip_c4,rec_c1,dam_c1,p_c1,bc_c1,rec_c2,dam_c2,p_c2,bc_c2,p_pooled
S,0.8933,0.74,0.9467,0.78,0.84,,,,,,,,,,,,,
M,0.72,0.6333,0.98,0.8267,0.79,0.2133,0.1267,0.0,0.0467,,,,,,,,,
T4,0.92,0.72,0.96,0.7667,0.8417,,,,,0.8095,0.037,6.04e-07,4/34,0.2545,0.0105,9.77e-04,1/14,
T8,0.9333,0.6667,0.96,0.76,0.83,,,,,0.8333,0.0278,6.68e-08,3/35,0.1636,0.0421,2.67e-01,4/9,
T12,0.9267,0.6667,0.9667,0.76,0.83,,,,,0.8333,0.037,3.35e-07,4/35,0.1455,0.0316,2.27e-01,3/8,
T16,0.9333,0.6267,0.9667,0.74,0.8167,,,,,0.8571,0.037,1.86e-07,4/36,0.0909,0.0632,1.00e+00,6/5,
T20,0.8133,0.64,0.9667,0.8267,0.8117,,,,,0.5,0.0648,1.25e-02,7/21,0.0545,0.0211,1.00e+00,2/3,
T24,0.7333,0.6333,0.9867,0.82,0.7933,,,,,0.0714,0.0093,6.25e-01,1/3,0.0,0.0,1.00e+00,0/0,
T0,0.9333,0.72,0.9533,0.7733,0.845,,,,,0.8333,0.0278,6.68e-08,3/35,0.2909,0.0316,4.43e-03,3/16,
Trel8,0.24,0.0267,0.98,0.76,0.5017,,,,,0.0238,0.6759,7.94e-21,73/1,0.0,0.9579,8.08e-28,91/0,3.59e-38
