condition,acc_c1,acc_c2,acc_c3,acc_c4,acc_all,flip_c1,flip_c2,flip_c3,flip_c4,rec_c1,dam_c1,p_c1,bc_c1,rec_c2,dam_c2,p_c2,bc_c2,p_pooled
S,0.9467,0.6467,0.98,0.72,0.8233,,,,,,,,,,,,,
M,0.9667,0.5667,0.9867,0.64,0.79,0.0067,0.0867,0.0067,0.0933,,,,,,,,,
T4,0.96,0.5667,1.0,0.68,0.8017,,,,,0.0,0.0069,1.00e+00,1/0,0.0615,0.0471,1.00e+00,4/4,
T8,0.9533,0.6,1.0,0.7133,0.8167,,,,,0.0,0.0138,5.00e-01,2/0,0.0769,0.0,6.25e-02,0/5,
T12,0.9533,0.5733,0.9933,0.6867,0.8017,,,,,0.0,0.0138,5.00e-01,2/0,0.0308,0.0118,1.00e+00,1/2,
T16,0.9533,0.5667,0.9933,0.6533,0.7917,,,,,0.0,0.0138,5.00e-01,2/0,0.0154,0.0118,1.00e+00,1/1,
T20,0.9667,0.5667,0.9867,0.64,0.79,,,,,0.0,0.0,1.00e+00,0/0,0.0154,0.0118,1.00e+00,1/1,
T24,0.9733,0.5667,0.9867,0.64,0.7917,,,,,0.2,0.0,1.00e+00,0/1,0.0154,0.0118,1.00e+00,1/1,
T0,0.98,0.4733,1.0,0.6133,0.7667,,,,,0.4,0.0,5.00e-01,0/2,0.0154,0.1765,5.19e-04,15/1,
Trel8,0.9533,0.0,1.0,0.0867,0.51,,,,,1.0,0.0483,7.74e-01,7/5,0.0,1.0,5.17e-26,85/0,2.39e-42
